,s
319,Geneseo (SUNY Geneseo)[
320,Geneva (Hobart and William Smith Colleges)
321,Hamilton (Colgate University)[
322,"Ithaca (Cornell University, Ithaca College)["
323,"Morningside Heights, Manhattan (Columbia University, Barnard College, Teachers College, Manhattan School of Music, Jewish Theological Seminary, Union Theological Seminary, Bank Street College of Education)"
324,New Paltz (SUNY New Paltz)[
325,"Oneonta (SUNY Oneonta, Hartwick College)["
326,Oswego (SUNY Oswego)[
327,Plattsburgh (SUNY Plattsburgh)[
328,"Potsdam (SUNY Potsdam, Clarkson University)["
329,"Poughkeepsie (Vassar College, Marist College)["
330,"Purchase (Purchase College, Manhattanville College)["
331,"Rochester (University of Rochester, Rochester Institute of Technology, Nazareth College, St. John Fisher College, Monroe Community College, Roberts Wesleyan College, SUNY Brockport, SUNY Empire State College)["
332,Saratoga Springs (Skidmore College)[
333,Seneca Falls (New York Chiropractic College)
334,Stony Brook (Stony Brook University)
335,"Syracuse (Syracuse University, SUNY ESF, Upstate Medical University)"
336,Tivoli (Bard College)
337,"Troy (Rensselaer Polytechnic Institute, Russell Sage College, Hudson Valley Community College)"
338,West Point (United States Military Academy)
339,North Carolina[edit]
340,Banner Elk (Lees-McRae College)
341,Boiling Springs (Gardner-Webb University)[
342,Boone (Appalachian State University)[
343,Buies Creek (Campbell University)[
344,Chapel Hill (University of North Carolina at Chapel Hill)[
345,Cullowhee (Western Carolina University)[
346,Davidson (Davidson College)[
347,"Durham (Duke University, North Carolina Central University)["
348,Elon (Elon University)[
349,"Greensboro (University of North Carolina at Greensboro, Greensboro College, Guilford College, North Carolina A & T State University, Bennett College)"
350,Greenville (East Carolina University)[
351,Hickory (Lenoir-Rhyne University)[
352,Mars Hill (Mars Hill College)[
353,Mount Olive (Mount Olive College)[
354,Pembroke (University of North Carolina at Pembroke)[
355,"Wilmington, North Carolina (University of North Carolina at Wilmington)"
356,Wingate (Wingate University)[
357,"Winston-Salem (Wake Forest University, University of North Carolina School of the Arts, Salem College, Winston-Salem State University)"
358,North Dakota[edit]
359,Fargo (North Dakota State University)[
360,Grand Forks (University of North Dakota)[
361,Ohio[edit]
362,Ada (Ohio Northern University)[
363,Alliance (University of Mount Union)
364,Ashland (Ashland University)[
365,Athens (Ohio University)[
366,Berea (Baldwin Wallace College)
367,Bluffton (Bluffton University)[
368,Bowling Green (Bowling Green State University)[
369,Cedarville (Cedarville University)[
370,Columbus (Ohio State University)
371,Delaware (Ohio Wesleyan University)
372,Fairborn (Wright State University)
373,Findlay (University of Findlay)
374,Gambier (Kenyon College)[
375,Granville (Denison University)[
376,Hiram (Hiram College)[
377,Kent (Kent State University)[
378,Nelsonville (Hocking College)[
379,New Concord (Muskingum College)[
380,Oberlin (Oberlin College)[
381,Oxford (Miami University)[
382,Rio Grande (University of Rio Grande)[
383,"Wilberforce (Wilberforce University, Central State University)["
384,Oklahoma[edit]
385,Ada (East Central University)[
386,Alva (Northwestern Oklahoma State University)[
387,Durant (Southeastern Oklahoma State University)[
388,"Edmond (University of Central Oklahoma, Oklahoma Christian University)["
389,Goodwell (Oklahoma Panhandle State University)[
390,Langston (Langston University)[
391,Norman (University of Oklahoma)[
392,Stillwater (Oklahoma State University)[
393,Tahlequah (Northeastern State University)[
394,Tulsa (The University of Tulsa)
395,Weatherford (Southwestern Oklahoma State University)
396,Oregon[edit]
397,Ashland (Southern Oregon University)[
398,Corvallis (Oregon State University)[
399,"Eugene (Lane Community College, Northwest Christian University, University of Oregon)["
400,Forest Grove (Pacific University)
401,"Klamath Falls (Klamath Community College, Oregon Institute of Technology)"
402,La Grande (Eastern Oregon University)[
403,Marylhurst (Marylhurst University)
404,McMinnville (Linfield College)
405,Monmouth (Western Oregon University)[
406,Newberg (George Fox University)
407,Pennsylvania[edit]
408,Altoona (Penn State Altoona)
409,Annville (Lebanon Valley College)[
410,"Bethlehem (Lehigh University, Moravian College)"
411,Bloomsburg (Bloomsburg University of Pennsylvania)[
412,Bradford (University of Pittsburgh at Bradford)
413,California (California University of Pennsylvania)[
